slug,title,word_count,under_400_words,generic_phrases,generic_phrase_count,templated_opening_shared_with_n,missing_image,is_illustration_not_photo,duplicate_image_with,cuisine,category
ebi-fry,Ebi Fry,463,,,0,,,,,Japanese,Dinner
tattie-scones,Tattie Scones,463,,,0,,,,,Scottish,Breakfast
lemon-posset,Lemon Posset,465,,,0,,,,,British,Desserts
pkhali,Pkhali,465,,,0,,,,,Georgian,Appetizers
steak-tartare,Steak Tartare,465,,,0,,,,,French,Dinner
ciambellone,Ciambellone,466,,,0,,,,,Italian,Baking
cumberland-sauce,Cumberland Sauce,466,,,0,,,yes,,British,Appetizers
kartoffelsalat,German Potato Salad,466,,,0,,yes,,,German,Lunch
potage-parmentier,Potage Parmentier,466,,,0,,,,,French,Lunch
salata-blankit,Salata Blankit,466,,,0,,,,,Tunisian,Appetizers
cockles-and-laverbread,Cockles and Laverbread,467,,,0,,,,,Welsh,Breakfast
tandoori-roti,Tandoori Roti,467,,,0,,,,,Indian,Baking
arroz-con-leche,Arroz con Leche,469,,,0,,,yes,,Mexican,Desserts
financiers,Financiers,469,,,0,,,,,French,Baking
gateau-au-yaourt,Gâteau au Yaourt,469,,,0,,,,,French,Baking
kookoo-sabzi,Kookoo Sabzi,469,,,0,,,,,Persian,Lunch
puff-puff,Puff Puff,469,,,0,,,,,Nigerian,Desserts
asab,Asab,470,,,0,,,,,Egyptian,Drinks
fluffy-pancakes,Fluffy Pancakes,470,,,0,,,yes,,American,Breakfast
potato-salad,Potato Salad,470,,,0,,,,,American,Lunch
tarta-de-santiago,Tarta de Santiago,472,,,0,,,yes,,Spanish,Desserts
zosui,Zosui,472,,,0,,,yes,,Japanese,Lunch
rasgulla,Rasgulla,473,,,0,,,,,Indian,Desserts
renga,Renga,473,,,0,,,yes,,Egyptian,Appetizers
sbrisolona,Torta Sbrisolona,473,,,0,,yes,,,Italian,Baking
stovies,Stovies,473,,,0,,,,,Scottish,Dinner
fritto-misto,Fritto Misto,474,,,0,,,,,Italian,Appetizers
pain-aux-noix,Pain aux Noix,474,,,0,,,yes,,French,Baking
rouladen,Rouladen,474,,,0,,,,,German,Dinner
tafelspitz,Tafelspitz,474,,,0,,,yes,,Austrian,Dinner
zalabya,Zalabya,474,,,0,,,,,Egyptian,Desserts
dabeli,Dabeli,475,,,0,,,yes,,Indian,Appetizers
far-breton,Far Breton,475,,,0,,,,,French,Desserts
tajine-tunisien,Tajine Tunisien,475,,,0,,,,,Tunisian,Dinner
mango-lassi,Mango Lassi,476,,,0,,,,,Indian,Drinks
palmiers,Palmiers,476,,,0,,,,,French,Baking
salade-de-lentilles,Salade de Lentilles,476,,,0,,,yes,,French,Appetizers
espresso-martini,Espresso Martini,477,,,0,,,,,International,Drinks
mantou,Mantou,477,,,0,,,yes,,Chinese,Baking
ftair,Ftair,478,,,0,,yes,,,Tunisian,Breakfast
granita-di-caffe,Granita di Caffè,478,,,0,,,,,Italian,Desserts
kelewele,Kelewele,478,,,0,,,,,Ghanaian,Appetizers
poireaux-vinaigrette,Poireaux Vinaigrette,478,,,0,,,,,French,Appetizers
youvetsi,Youvetsi,478,,,0,,,yes,,Greek,Dinner
barmbrack,Barmbrack,479,,,0,,,yes,,Irish,Baking
marqa-hlouwa,Marqa Hlouwa,479,,,0,,,yes,,Tunisian,Dinner
mombar,Mombar,479,,,0,,,,,Egyptian,Dinner
amaretti,Amaretti Morbidi,480,,,0,,,yes,,Italian,Baking
braised-red-cabbage,Braised Red Cabbage,480,,,0,,,,,British,Dinner
mlawi,Mlawi,480,,,0,,,,,Tunisian,Baking
salata-baladi,Salata Baladi,480,,,0,,,yes,,Egyptian,Appetizers
apple-crumble,Apple Crumble,481,,,0,,,,,British,Desserts
devilled-whitebait,Devilled Whitebait,481,,,0,,,,,British,Appetizers
sfouf,Sfouf,481,,,0,,,yes,,Lebanese,Baking
shorbat-adas,Shorbat Adas,481,,,0,,,yes,,Egyptian,Lunch
banana-pancakes,Banana Pancakes,482,,,0,,,yes,,American,Breakfast
bsissa,Bsissa,482,,,0,,,,,Tunisian,Breakfast
grits,Cheesy Grits,482,,,0,,,yes,,American,Breakfast
hotteok,Hotteok,482,,,0,,,,,Korean,Desserts
talami,Talami,482,,,0,,yes,,,Lebanese,Baking
fudge-brownies,Fudge Brownies,483,,,0,,,yes,,American,Desserts
tapenade,Tapenade,483,,,0,,yes,,,French,Appetizers
boudin-noir-pommes,Boudin Noir aux Pommes,484,,,0,,,,,French,Quick Meals
panelle,Panelle,484,,,0,,,,,Italian,Appetizers
balila,Balila,485,,,0,,,yes,,Lebanese,Appetizers
gyeranjjim,Gyeranjjim,485,,,0,,,yes,,Korean,Appetizers
kafteji,Kafteji,485,,,0,,,,,Tunisian,Lunch
knedliky,Czech Dumplings,485,,,0,,yes,,,Czech,Dinner
monkey-bread,Monkey Bread,485,,,0,,,,,American,Baking
scotch-broth,Scotch Broth,485,,,0,,,,,Scottish,Lunch
bubble-and-squeak,Bubble and Squeak,486,,,0,,,,,British,Breakfast
potted-shrimps,Potted Shrimps,486,,,0,,,yes,,British,Appetizers
aligot,Aligot,487,,,0,,,,,French,Dinner
corned-beef-hash,Corned Beef Hash,487,,,0,,yes,,,American,Breakfast
fiori-di-zucca,Fiori di Zucca Fritti,487,,,0,,yes,,,Italian,Appetizers
ile-flottante,Île Flottante,487,,,0,,,,,French,Desserts
katsudon,Katsudon,487,,,0,,yes,,,Japanese,Dinner
salep,Salep,487,,,0,,,,,Turkish,Drinks
leek-and-potato-soup,Leek and Potato Soup,488,,,0,,yes,,,British,Lunch
jallab,Jallab,489,,,0,,,,,Lebanese,Drinks
medovik,Medovik,489,,,0,,,yes,,Russian,Desserts
honey-roast-parsnips,Honey Roast Parsnips,490,,,0,,yes,,,British,Dinner
irish-coffee,Irish Coffee,490,,,0,,,,,Irish,Drinks
pan-haggerty,Pan Haggerty,490,,,0,,,yes,,British,Dinner
onigiri,Onigiri,491,,,0,,,yes,,Japanese,Lunch
cordon-bleu,Cordon Bleu,492,,,0,,,,,French,Dinner
rouz-jerbi,Rouz Jerbi,492,,,0,,,,,Tunisian,Dinner
stoofvlees,Stoofvlees,492,,,0,,,,,Belgian,Dinner
carpaccio,Carpaccio di Manzo,493,,,0,,,,,Italian,Appetizers
fattet-hummus,Fattet Hummus,493,,,0,,,,,Lebanese,Breakfast
gratin-de-macaronis,Gratin de Macaronis,493,,,0,,,,,French,Dinner
jaljeera,Jaljeera,493,,,0,,,,,Indian,Drinks
riz-au-lait,Riz au Lait,493,,,0,,,,,French,Desserts
scotch-woodcock,Scotch Woodcock,493,,,0,,,,,British,Appetizers
smores,S'mores,493,,,0,,,,,American,Desserts
